,time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
33,11.337999999999987,32.0,1.9684,175.4386,1.3383,264.0,22.807,199.0,16.8205,15.1797,7.2461,9.0,-14.0,822.5098,3.1818,77.193,78.0,2.5535,9.9663,14.5435,37.1591,4.1172,0.771,76.7575,43.5401,119.0,18.0,38.0,208.0,123.0,262.0,0.5234,3.625,10.5625,-2.8242,35.75,95.25,9.8906,-2.6094,20.4375,1118.7134,859.6191,20.5,0.6692,-12.1719,12.5,84.9844,0.6525999999999997,48592.0,r
34,11.670999999999996,28.0,3.1327,172.4138,2.1373,370.0,0.0,262.0,17.0199,14.4844,8.9375,7.0,-9.4063,632.5684,1.7622,106.3218,-22.0,0.1273,2.8752,34.5208,26.5135,7.7175,1.777,110.6936,65.1986,108.0,24.0,40.0,306.0,32.0,258.0,0.2969,5.1875,9.4375,-6.1953,35.75,99.8281,-7.8594,-17.4063,-21.2969,1090.3931,852.6611,20.5,1.0686,-21.5313,16.7344,97.8281,0.5959666666666665,49520.0,l
35,12.021999999999984,33.0,1.9478,179.91,1.3218,262.0,21.3213,200.0,14.998,12.9609,7.5469,8.0,-13.5781,589.5386,3.0916,78.5607,71.0,2.1425,10.2975,15.1988,37.4427,4.0694,0.8078,77.9548,44.3042,135.0,26.0,42.0,194.0,117.0,254.0,0.4414,4.4375,8.0625,-2.6367,35.75,95.9063,9.4844,-5.125,15.9219,928.4058,842.7124,20.5,0.6609,-8.6094,15.8594,80.2188,0.6639999999999997,49276.0,r
36,12.366999999999994,29.0,2.9975,180.4511,2.0396,368.0,0.0,257.0,17.0344,15.2656,7.5586,7.0,-10.6875,600.3418,1.6141,110.6767,-36.0,0.3571,3.1523,141.1615,26.6576,7.2119,1.881,111.9348,65.9907,123.0,22.0,44.0,302.0,12.0,265.0,0.1016,4.625,10.3125,-5.6563,35.75,97.7344,-7.7344,-12.3906,-19.5781,1147.9492,969.8486,20.5,1.0198,-21.625,16.2969,98.1719,0.6075666666666666,50216.0,l
37,12.688999999999986,34.0,1.9395,178.3061,1.3177,260.0,22.619,202.0,14.7413,12.8086,7.2969,8.0,-16.6719,657.5317,3.1769,77.266,76.0,2.4622,10.3806,15.017,37.7308,4.0491,0.7809,77.3549,43.9214,135.0,16.0,48.0,196.0,115.0,258.0,0.8086,3.25,8.375,-2.875,35.75,96.4844,11.8125,-6.4375,14.125,936.2183,871.46,20.5,0.6589,-9.9219,13.4219,81.3594,0.6751166666666664,49943.0,r
38,13.36199999999998,35.0,1.9231,173.1602,1.3054,260.0,24.8555,242.0,14.4632,12.4531,7.3555,8.0,-16.5625,680.3589,3.3308,75.0361,86.0,3.1813,10.2588,14.368,37.7308,4.0126,0.7193,75.3593,42.6478,119.0,20.0,45.0,195.0,119.0,270.0,0.9102,4.0625,9.125,-2.9844,36.5,97.0938,12.0313,-4.8594,17.4063,1008.7891,858.7646,20.5,0.6527,-8.6094,13.7969,80.5938,0.686333333333333,50616.0,r
39,13.699999999999992,31.0,2.7045,173.4104,1.8368,368.0,0.0,180.0,17.0586,14.918,8.2734,8.0,-10.375,693.9697,1.7609,106.3584,-22.0,0.1481,3.9412,35.1086,26.6576,6.2602,1.505,96.8493,56.363,114.0,20.0,37.0,311.0,25.0,261.0,0.2344,4.3125,10.5,-4.957,35.5,101.0,-8.6094,-15.4531,-18.6094,1109.8633,906.6162,20.5,0.9184,-23.2813,15.3125,100.625,0.6297833333333333,51549.0,l
40,14.054999999999978,36.0,1.9189,175.1825,1.3013,260.0,23.9766,177.0,15.9099,13.793,7.9297,8.0,-15.2813,783.6304,3.2692,75.9124,82.0,2.9019,10.3404,14.6135,37.7308,4.0035,0.7393,75.9236,43.0079,113.0,24.0,35.0,201.0,129.0,266.0,0.332,4.8125,9.5625,-2.9141,36.5,104.875,11.2344,0.0938,16.5625,1096.6187,804.2603,20.5,0.6506,-9.8594,15.25,78.8906,0.697883333333333,51309.0,r
41,14.391999999999992,32.0,2.5768,175.4386,1.7504,372.0,0.0,171.0,16.1439,13.6641,8.5977,7.0,-11.7813,602.6001,1.6774,108.7719,-30.0,0.289,4.2606,58.3456,26.371,5.8968,1.4852,94.5138,54.8724,116.0,26.0,40.0,306.0,12.0,268.0,0.3789,4.375,7.9375,-5.2148,35.5,98.5938,-7.5469,-13.5938,-18.9688,917.7856,900.4517,20.5,0.8752,-21.375,17.8281,98.7656,0.6413166666666665,52241.0,l
42,14.73999999999998,37.0,1.9313,177.2526,1.3136,258.0,23.6686,188.0,15.0598,12.8867,7.793,8.0,-16.4219,695.9229,3.2481,76.2186,80.0,2.7364,10.4864,14.9309,38.0233,4.0289,0.7602,76.9462,43.6606,127.0,23.0,40.0,195.0,118.0,265.0,0.1797,4.75,8.625,-2.6172,36.75,95.9531,11.0469,-1.0,19.2969,999.1455,813.7207,20.5,0.6568,-9.0156,15.7344,78.7344,0.7092999999999996,51994.0,r
