Unnamed: 0,time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
21,7.774000000000001,18.0,1.8488,165.7459,1.3111,214.0,40.884,476.0,16.2147,13.8984,8.3516,4.0,-11.5,887.3901,4.7664,59.116,148.0,9.3078,13.9039,16.7153,45.8411,3.8146,0.5005,76.1129,43.1287,74.0,32.0,29.0,153.0,191.0,289.0,1.6914,4.9375,8.25,-2.6055,11.25,111.1406,-9.4063,1.1094,-1.5625,900.0854,874.0234,24.5,0.6555,1.0938,25.8438,63.3438,0.2748166666666666,17251.0,l
22,8.206,14.0,1.8878,170.4545,1.2773,225.0,36.0795,215.0,16.605,15.4648,6.0469,4.0,-17.2031,1129.0283,4.2578,63.9205,127.0,7.0615,12.8383,16.0641,43.6,3.9061,0.5816,76.6716,43.4852,93.0,28.0,30.0,167.0,180.0,270.0,2.5586,6.0,11.0625,-2.4297,11.0,112.8281,5.6719,2.3594,2.1406,1142.2729,931.7017,25.5,0.6387,8.5781,25.3594,72.1875,0.1437666666666666,13239.0,r
23,8.498000000000001,19.0,1.8524,169.4915,1.3111,222.0,37.2881,444.0,14.9999,13.3477,6.8438,5.0,-10.4375,796.9971,4.3784,62.7119,132.0,7.4281,13.1893,16.2397,44.1892,3.8275,0.5541,76.1222,43.1347,86.0,33.0,30.0,159.0,177.0,283.0,1.7813,4.4375,7.6875,-2.4063,10.75,110.8281,-8.8906,3.0469,1.2188,797.9736,929.5044,24.5,0.6555,-1.25,24.2969,65.625,0.2868833333333333,17975.0,l
24,8.91,15.0,1.8236,168.7764,1.2693,214.0,39.7183,233.0,16.6342,14.9844,7.2227,4.0,-13.9219,638.4277,4.6449,60.1969,141.0,8.7356,14.0592,16.9331,45.8411,3.7605,0.5213,76.5217,43.3896,89.0,26.0,40.0,148.0,187.0,278.0,1.9336,6.125,11.1875,-3.1406,11.5,106.3281,3.5938,2.2031,3.2656,900.7568,884.7656,25.5,0.6346,6.3594,24.8594,64.2031,0.1555,13943.0,r
25,9.206,20.0,1.8453,164.8352,1.3075,221.0,39.2857,350.0,13.8449,12.3281,6.3008,4.0,-10.5625,853.5156,4.5882,60.7143,143.0,8.7224,13.1668,15.9781,44.3891,3.8117,0.508,74.8752,42.3388,66.0,34.0,29.0,158.0,195.0,286.0,1.5,4.1875,7.5,-2.5625,10.75,116.1875,-10.1563,2.6563,-0.6719,866.7603,907.8369,24.5,0.6538,0.4375,26.6563,67.0625,0.2986833333333333,18683.0,l
26,9.621,16.0,1.7914,166.4355,1.2612,220.0,38.8889,233.0,16.7191,15.75,5.6094,6.0,-15.3594,1382.4463,4.5545,61.0264,140.0,8.668,13.4514,16.186,44.5909,3.6956,0.5064,74.5659,42.1414,73.0,26.0,25.0,169.0,183.0,292.0,1.5664,6.3125,11.5,-2.5,11.5,106.8906,6.1406,7.8125,9.875,1385.0098,812.6221,25.5,0.6306,7.3906,21.1094,67.0156,0.16735,14654.0,r
27,9.933999999999996,21.0,1.8524,164.8352,1.3216,205.0,43.6813,267.0,15.699,13.4258,8.1367,7.0,-12.9219,972.9614,5.1024,56.3187,159.0,10.6283,14.9088,17.644,47.8537,3.8162,0.4724,77.2899,43.8799,82.0,18.0,29.0,158.0,196.0,285.0,1.8008,6.25,10.625,-3.2422,11.25,117.0156,-5.9375,1.2656,-0.375,976.1353,905.1514,24.5,0.6608,0.1875,16.6875,67.2031,0.3108166666666666,19411.0,l
28,10.342,17.0,1.8316,171.9198,1.2934,213.0,38.9685,209.0,16.3997,14.5234,7.6172,7.0,-13.9688,1163.8794,4.554,61.0315,136.0,7.9859,14.2421,17.2685,46.0563,3.7771,0.5455,77.5309,44.0337,95.0,24.0,26.0,163.0,176.0,284.0,1.1289,6.125,10.375,-2.8359,11.75,99.6406,4.25,1.3438,11.25,1164.4287,877.3193,25.5,0.6467,9.7031,18.2344,66.0469,0.1793666666666666,15375.0,r
29,10.662,22.0,1.8594,165.2893,1.3286,223.0,38.5675,182.0,15.0829,12.7422,8.0703,4.0,-12.1875,882.9956,4.5112,61.4325,140.0,8.2345,12.9511,15.8335,43.991,3.8433,0.5208,74.9881,42.4108,68.0,34.0,30.0,159.0,189.0,288.0,1.4492,4.75,7.6875,-2.4023,11.25,113.9688,-9.0781,0.0625,-1.3125,883.5449,884.7046,24.5,0.6643,-2.0,25.25,64.3906,0.3229499999999999,20139.0,l
30,11.04,18.0,1.8437,170.2128,1.3054,216.0,38.6364,213.0,15.8814,14.1836,7.1445,6.0,-12.9063,1103.5767,4.5278,61.2766,136.0,7.9131,13.8364,16.8435,45.4167,3.8048,0.5445,76.972,43.677,85.0,28.0,26.0,162.0,185.0,282.0,1.4414,5.9375,9.625,-2.3398,11.75,107.0781,5.7344,-0.1875,7.0469,1103.6377,916.5649,25.5,0.6527,5.8594,20.3438,64.9531,0.191,16073.0,r
