time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
7.817000000000121,522.0,2.239,169.0141,1.5913,270.0,23.9437,195.0,9.1517,7.0039,5.8906,8.0,-15.8438,1102.356,3.2593,76.0563,85.0,2.5503,8.6446,13.5895,36.3333,4.7395,0.818,79.8313,45.5018,89.0,28.0,20.0,222.0,127.0,282.0,0.4844,3.5625,4.1875,-1.9961,43.25,81.0313,-9.0781,-0.875,-25.5313,1124.2676,686.7065,21.0,0.7957,1.3125,14.2188,70.6719,9.4716,572050.0,l
8.414999999999736,513.0,2.2014,171.9198,1.5624,273.0,21.7765,159.0,9.4972,8.8594,3.4219,5.0,-14.3906,485.0464,3.1136,78.2235,76.0,2.077,8.6593,13.8975,35.9341,4.6573,0.8511,80.0951,45.6702,95.0,26.0,36.0,211.0,129.0,271.0,0.7344,2.8125,4.375,-1.8711,41.75,72.7813,9.75,1.1875,20.625,653.9917,642.2729,20.5,0.7812,5.0,22.5156,60.4844,9.486566666666658,569299.0,r
8.527000000000157,523.0,2.2554,167.364,1.6045,256.0,28.4916,196.0,9.1664,6.6016,6.3594,12.0,-13.625,1080.5664,3.6016,71.4086,102.0,3.6398,9.3767,13.8885,38.3203,4.755,0.7618,80.1935,45.733,99.0,10.0,20.0,226.0,127.0,286.0,0.5078,5.5,7.625,-2.5781,43.25,83.2656,-5.4375,-1.5313,-25.0156,1104.7363,683.4106,21.0,0.8022,1.3125,5.6406,71.375,9.483433333333332,572760.0,l
9.112999999999715,514.0,2.198,169.0141,1.559,251.0,29.2958,175.0,8.8728,7.8516,4.1328,8.0,-15.5625,561.8896,3.6574,70.7042,104.0,3.8935,9.8913,14.2788,39.0837,4.6172,0.7437,79.8637,45.5225,105.0,14.0,30.0,207.0,143.0,269.0,0.9648,3.125,4.8125,-2.3125,42.0,65.625,6.5156,5.4688,23.3906,702.7588,624.5117,20.5,0.7795,5.0469,13.9531,58.4844,9.498199999999992,569997.0,r
9.244000000000142,524.0,2.2522,169.0141,1.5979,266.0,25.0704,177.0,12.0174,9.8945,6.8203,10.0,-13.2813,1031.25,3.3383,74.9296,89.0,2.7841,8.824,13.6993,36.8797,4.7634,0.8103,80.2416,45.7637,95.0,16.0,20.0,230.0,126.0,281.0,0.3438,4.8125,7.1875,-2.7227,42.75,84.1094,-6.8281,-2.3906,-24.4531,1065.6738,666.687,21.0,0.7989,-0.0625,10.2656,74.8438,9.495383333333333,573477.0,l
9.822999999999752,515.0,2.198,168.0672,1.5624,263.0,26.3305,186.0,8.1412,7.0664,4.043,6.0,-16.0,523.1934,3.4297,73.6695,94.0,3.1755,9.1309,13.6897,37.3004,4.6344,0.7687,78.8987,44.9067,97.0,40.0,22.0,201.0,129.0,279.0,0.2305,2.5,4.1875,-2.043,42.0,69.8281,7.2813,5.0,23.7031,662.4756,671.2036,20.5,0.7812,7.4688,19.0,58.9688,9.510033333333324,570707.0,r
9.954000000000178,525.0,2.2653,168.3029,1.6077,260.0,26.9663,197.0,9.9013,6.7852,7.2109,12.0,-14.5781,1086.9141,3.4846,72.9313,96.0,3.2186,9.1201,13.8233,37.7308,4.784,0.7899,80.5636,45.9692,103.0,10.0,20.0,230.0,127.0,278.0,0.5508,5.0625,7.75,-2.7148,43.25,82.2344,-6.3281,-1.3906,-24.75,1124.0234,685.73,21.0,0.8039,-2.0781,6.2969,68.8281,9.507216666666666,574187.0,l
10.536999999999807,516.0,2.2148,167.1309,1.5724,259.0,27.8552,180.0,7.7798,6.6563,4.0273,7.0,-17.4688,524.9634,3.5444,72.1448,100.0,3.57,9.3013,13.74,37.8764,4.6667,0.7507,79.0641,45.0122,87.0,22.0,42.0,195.0,143.0,279.0,0.707,2.5,4.6875,-2.125,41.75,67.9844,8.1094,3.6563,23.1406,602.7222,648.6816,20.5,0.7862,4.7031,18.6719,56.6094,9.521933333333326,571421.0,r
10.667000000000144,526.0,2.2653,171.184,1.6045,252.0,28.0,222.0,9.4632,6.6563,6.7266,11.0,-13.875,1087.0972,3.5635,71.8973,98.0,3.3606,9.6715,14.4523,38.9286,4.7713,0.8006,82.0308,46.9056,109.0,9.0,20.0,223.0,129.0,278.0,0.2266,5.5625,7.125,-2.6523,43.25,79.6719,-5.6406,5.7813,-22.9219,1135.498,624.6338,21.0,0.8022,-0.5938,6.9063,70.1875,9.5191,574900.0,l
11.254999999999768,517.0,2.2214,170.9402,1.5758,264.0,24.7863,182.0,9.0591,7.9961,4.2578,6.0,-15.0156,532.1045,3.3182,75.2137,87.0,2.6979,9.0624,13.9832,37.1591,4.6896,0.8171,80.4317,45.885,98.0,37.0,22.0,205.0,136.0,270.0,1.3398,2.875,4.9375,-2.1055,41.75,74.25,9.4688,0.2969,25.9844,673.2178,609.7412,20.5,0.7879,7.5625,20.6094,58.8125,9.533899999999992,572139.0,r
11.368000000000166,527.0,2.2554,170.4545,1.5979,272.0,22.7273,229.0,8.8887,6.8984,5.6055,8.0,-13.7031,886.4136,3.1765,77.2727,80.0,2.2501,8.5184,13.7231,36.0662,4.781,0.85,80.6904,46.0501,95.0,24.0,22.0,226.0,121.0,280.0,0.5547,4.0,5.25,-2.3633,43.25,83.8281,-8.9844,3.5156,-23.6563,907.6538,712.5854,21.0,0.7989,-0.6094,14.0313,72.1875,9.530783333333334,575601.0,l
11.956999999999766,518.0,2.2148,169.0141,1.5691,268.0,24.507,181.0,8.1625,6.7656,4.5664,7.0,-12.9531,599.6094,3.2985,75.493,87.0,2.7094,8.8224,13.6421,36.6045,4.6804,0.8025,79.4007,45.227,98.0,27.0,30.0,211.0,128.0,274.0,0.1523,2.8125,3.6875,-1.6953,41.75,74.8125,8.2969,5.0781,22.2344,657.3486,676.6357,20.5,0.7845,7.6719,17.25,62.0781,9.545599999999991,572841.0,r
12.07200000000023,528.0,2.2554,168.7764,1.5979,270.0,23.9437,222.0,9.7924,6.8438,7.0039,10.0,-12.875,920.4712,3.2667,75.9494,85.0,2.5398,8.5926,13.5609,36.3333,4.7776,0.8243,80.172,45.7193,99.0,14.0,22.0,234.0,121.0,278.0,0.3242,5.1875,6.875,-2.6914,43.0,81.5781,-6.8438,0.9531,-21.6563,958.4351,653.3203,21.0,0.7989,1.75,8.7344,72.4063,9.542516666666668,576305.0,l
12.666999999999687,519.0,2.2148,169.4915,1.5691,260.0,26.5537,203.0,8.6119,6.8594,5.207,7.0,-16.0156,644.8975,3.4462,73.4463,94.0,3.162,9.2863,13.9511,37.7308,4.6682,0.7835,79.9099,45.552,98.0,20.0,36.0,204.0,128.0,282.0,0.7578,2.6875,5.125,-2.3203,42.25,70.2344,9.5469,2.2656,27.7344,737.5488,624.6338,20.5,0.7845,8.0625,18.0469,58.7813,9.557433333333323,573551.0,r
12.783000000000245,529.0,2.2653,172.9107,1.6012,268.0,22.7666,205.0,10.2358,8.8828,5.0859,10.0,-12.5,849.6094,3.1791,77.2334,79.0,2.1898,8.7463,14.1244,36.6045,4.7971,0.8732,81.9877,46.8781,115.0,14.0,20.0,234.0,113.0,272.0,1.0625,4.3125,5.875,-2.5586,43.0,91.6094,-6.1563,-5.4219,-21.9375,918.5791,739.0747,21.0,0.8006,3.1094,9.4063,79.1094,9.554366666666668,577016.0,l
13.37499999999966,520.0,2.2014,170.4545,1.559,269.0,23.5795,182.0,10.0221,8.8438,4.7148,6.0,-17.0313,703.2471,3.2342,76.4205,83.0,2.4821,8.837,13.7901,36.4684,4.6512,0.8192,79.6483,45.385,98.0,24.0,30.0,215.0,139.0,262.0,1.5547,3.0625,5.125,-1.9258,42.0,78.2656,9.6875,5.9844,18.5938,803.1006,590.1489,20.5,0.7795,7.6563,20.0625,59.7188,9.569233333333324,574259.0,r
