YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate,Manual_Foot,Manual_Contact_Time,Manual_Start_Time
r,200.1000500250107,16.875104218776055,24.0,r,16.713000000000005,26.0,235.0,7.0,186.0,165.2893,0.7170251792562929,167.35813953488417,164.0,0.0,86.0,r,0.2001000500250107,16.875104218776055
l,200.1000500250107,17.25862931465733,25.0,l,17.315000000000005,28.0,228.0,4.0,162.0,168.3029,0.7170251792562929,167.35813953488417,164.0,0.0,86.0,l,0.2001000500250107,17.25862931465733
r,216.7750541937643,17.59212939803235,25.0,r,17.439000000000004,27.0,225.0,7.0,198.0,167.5978,0.7337001834250465,163.5545454545453,164.0,0.0,87.0,r,0.2167750541937643,17.59212939803235
l,200.1000500250178,17.975654493913623,26.0,l,18.028000000000013,29.0,231.0,4.0,156.0,167.1309,0.7170251792562965,167.35813953488332,164.0,0.0,87.0,l,0.2001000500250178,17.975654493913623
r,183.4250458562607,18.325829581457395,26.0,r,18.155000000000005,28.0,231.0,6.0,209.0,166.8985,0.7003501750875429,171.34285714285733,164.0,0.0,87.0,r,0.1834250458562607,18.325829581457395
l,200.1000500250107,18.69267967316992,27.0,l,18.74600000000001,30.0,232.0,4.0,163.0,165.5172,0.7003501750875429,171.34285714285733,164.0,0.0,90.0,l,0.2001000500250107,18.69267967316992
r,200.1000500250143,19.026179756544938,27.0,r,18.87400000000001,29.0,225.0,7.0,194.0,167.1309,0.7170251792562965,167.35813953488332,164.0,0.0,90.0,r,0.2001000500250143,19.026179756544938
l,200.1000500250178,19.393029848257463,28.0,l,19.47100000000001,31.0,228.0,5.0,168.0,167.1309,0.7170251792562965,167.35813953488332,164.0,0.0,90.0,l,0.2001000500250143,19.393029848257463
r,183.4250458562571,19.74320493580123,28.0,r,19.59200000000001,30.0,229.0,9.0,206.0,168.0672,0.7170251792562965,167.35813953488332,164.0,0.0,92.0,r,0.1834250458562571,19.74320493580123
l,200.1000500250107,20.11005502751376,29.0,l,20.18900000000001,32.0,229.0,5.0,175.0,164.6091,0.7170251792562894,167.358139534885,164.0,0.0,92.0,l,0.2001000500250107,20.11005502751376
r,200.1000500250107,20.46023011505753,29.0,r,20.306000000000008,31.0,211.0,9.0,192.0,166.6667,0.733700183425043,163.55454545454612,164.0,0.0,92.0,r,0.2001000500250107,20.46023011505753
l,216.7750541937678,20.82708020677005,30.0,l,20.918000000000013,33.0,230.0,5.0,193.0,165.9751,0.7337001834250501,163.55454545454452,164.0,0.0,93.0,l,0.2167750541937678,20.82708020677005
r,200.1000500250143,21.193930298482577,30.0,r,21.026000000000007,32.0,230.0,7.0,189.0,163.9344,0.7170251792562965,167.35813953488332,164.0,0.0,93.0,r,0.2001000500250143,21.193930298482577
l,200.1000500250107,21.5607803901951,31.0,l,21.64100000000001,34.0,231.0,5.0,188.0,170.4545,0.7170251792562929,167.35813953488417,164.0,0.0,93.0,l,0.2001000500250107,21.5607803901951
r,216.7750541937643,21.91095547773887,31.0,r,21.758000000000006,33.0,226.0,8.0,182.0,166.205,0.7170251792562929,167.35813953488417,164.0,0.0,93.0,r,0.2167750541937643,21.91095547773887
l,200.1000500250178,22.27780556945139,32.0,l,22.345000000000013,35.0,224.0,6.0,172.0,167.8322,0.7170251792562965,167.35813953488332,164.0,0.0,93.0,l,0.2001000500250178,22.27780556945139
r,200.1000500250143,22.627980656995163,32.0,r,22.480000000000008,34.0,228.0,8.0,181.0,166.6667,0.7170251792562965,167.35813953488332,164.0,0.0,93.0,r,0.2001000500250143,22.627980656995163
l,183.4250458562607,22.994830748707688,33.0,l,23.060000000000016,36.0,236.0,5.0,179.0,167.8322,0.7003501750875429,171.34285714285733,164.0,0.0,93.0,l,0.1834250458562607,22.994830748707688
r,200.1000500250107,23.34500583625146,33.0,r,23.200000000000006,35.0,229.0,7.0,183.0,170.4545,0.7170251792563,167.3581395348825,164.0,0.0,93.0,r,0.2001000500250107,23.34500583625146
l,216.7750541937643,23.69518092379523,34.0,l,23.775000000000013,37.0,233.0,6.0,198.0,166.205,0.7337001834250501,163.55454545454452,164.0,0.0,95.0,l,0.2167750541937643,23.69518092379523
r,183.4250458562571,24.06203101550776,34.0,r,23.90400000000001,36.0,233.0,7.0,186.0,167.1309,0.7337001834250394,163.5545454545469,164.0,0.0,95.0,r,0.1834250458562607,24.06203101550776
l,200.1000500250072,24.42888110722028,35.0,l,24.49700000000001,38.0,234.0,5.0,172.0,168.3029,0.7170251792562894,167.358139534885,164.0,0.0,95.0,l,0.2001000500250072,24.42888110722028
r,183.4250458562643,24.7957311989328,35.0,r,24.62200000000001,37.0,221.0,7.0,204.0,164.8352,0.7003501750875465,171.34285714285647,164.0,0.0,97.0,r,0.1834250458562643,24.7957311989328
l,200.1000500250143,25.14590628647657,36.0,l,25.21000000000001,39.0,230.0,5.0,174.0,169.4915,0.7170251792562965,167.35813953488332,164.0,0.0,97.0,l,0.2001000500250143,25.14590628647657
r,200.1000500250143,25.496081374020346,36.0,r,25.35000000000001,38.0,233.0,8.0,178.0,169.2525,0.7003501750875429,171.34285714285733,164.0,0.0,97.0,r,0.2001000500250143,25.496081374020346
l,200.1000500250143,25.862931465732867,37.0,l,25.91800000000002,40.0,224.0,5.0,169.0,168.3029,0.7003501750875429,171.34285714285733,166.0,0.0,97.0,l,0.2001000500250143,25.862931465732867
r,200.1000500250107,26.19643154910789,37.0,r,26.05900000000001,39.0,225.0,8.0,177.0,167.1309,0.7170251792562929,167.35813953488417,166.0,0.0,97.0,r,0.2001000500250107,26.19643154910789
l,200.1000500250143,26.56328164082041,38.0,l,26.63100000000002,41.0,228.0,6.0,182.0,166.8985,0.7337001834250465,163.5545454545453,166.0,0.0,98.0,l,0.2001000500250143,26.56328164082041
