timestamp,cadence,gct,heart_rate,timestamp.1,index
1709309308,192,0,146,1709309577,218
1709309309,192,0,147,1709309578,219
1709309310,194,0,147,1709309579,220
1709309311,192,0,148,1709309580,221
1709309312,192,0,148,1709309581,222
1709309313,192,0,148,1709309582,223
1709309314,192,0,148,1709309583,224
1709309315,192,0,148,1709309584,225
1709309316,192,0,148,1709309585,226
1709309317,192,0,148,1709309586,227
1709309318,192,0,148,1709309587,228
1709309319,192,0,148,1709309588,229
1709309320,192,0,148,1709309589,230
1709309321,190,0,148,1709309590,231
1709309322,190,0,148,1709309591,232
1709309323,190,0,148,1709309592,233
1709309324,190,0,148,1709309593,234
1709309325,190,0,148,1709309594,235
1709309326,192,0,148,1709309595,236
1709309327,192,0,148,1709309596,237
1709309328,192,0,148,1709309597,238
1709309329,192,0,148,1709309598,239
1709309330,192,0,148,1709309599,240
1709309331,192,0,148,1709309600,241
1709309332,192,0,149,1709309601,242
1709309333,192,0,148,1709309602,243
1709309334,192,0,148,1709309603,244
1709309335,192,0,148,1709309604,245
1709309336,192,0,148,1709309605,246
1709309337,190,0,148,1709309606,247
1709309338,190,0,148,1709309607,248
1709309339,190,0,148,1709309608,249
1709309340,190,0,148,1709309609,250
1709309341,190,0,149,1709309610,251
1709309342,190,0,148,1709309611,252
1709309343,190,0,148,1709309612,253
1709309344,192,0,148,1709309613,254
1709309345,192,0,148,1709309614,255
1709309346,192,0,148,1709309615,256
1709309347,192,0,148,1709309616,257
1709309348,194,0,149,1709309617,258
1709309349,192,0,148,1709309618,259
1709309350,192,0,148,1709309619,260
1709309351,192,0,149,1709309620,261
1709309352,192,0,149,1709309621,262
1709309353,192,0,149,1709309622,263
1709309354,192,0,149,1709309623,264
1709309355,190,0,149,1709309624,265
1709309356,190,0,149,1709309625,266
1709309357,190,0,149,1709309626,267
1709309358,192,0,149,1709309627,268
1709309359,192,0,149,1709309628,269
1709309360,192,0,149,1709309629,270
1709309361,192,0,149,1709309630,271
1709309362,192,0,149,1709309631,272
1709309363,192,0,149,1709309632,273
1709309364,192,0,149,1709309633,274
1709309365,192,0,149,1709309634,275
1709309366,192,0,149,1709309635,276
1709309367,192,0,149,1709309636,277
1709309368,192,0,149,1709309637,278
1709309369,192,0,149,1709309638,279
1709309370,190,0,149,1709309639,280
1709309371,190,0,149,1709309640,281
1709309372,188,0,149,1709309641,282
1709309373,188,0,149,1709309642,283
1709309374,188,0,149,1709309643,284
1709309375,188,0,149,1709309644,285
1709309376,188,0,149,1709309645,286
1709309377,188,0,149,1709309646,287
1709309378,188,0,149,1709309647,288
1709309379,188,0,149,1709309648,289
1709309380,188,0,149,1709309649,290
1709309381,190,0,149,1709309650,291
1709309382,190,0,149,1709309651,292
1709309383,190,0,149,1709309652,293
1709309384,190,0,149,1709309653,294
1709309385,192,0,149,1709309654,295
1709309386,192,0,149,1709309655,296
1709309387,192,0,149,1709309656,297
1709309388,192,0,149,1709309657,298
1709309389,192,0,149,1709309658,299
1709309390,192,0,149,1709309659,300
1709309391,192,0,149,1709309660,301
1709309392,192,0,149,1709309661,302
1709309393,190,0,149,1709309662,303
1709309394,190,0,149,1709309663,304
1709309395,188,0,149,1709309664,305
1709309396,188,0,149,1709309665,306
1709309397,188,0,149,1709309666,307
1709309398,190,0,149,1709309667,308
1709309399,190,0,149,1709309668,309
1709309400,190,0,149,1709309669,310
1709309401,190,0,149,1709309670,311
1709309402,190,0,149,1709309671,312
1709309403,190,0,150,1709309672,313
1709309404,192,0,150,1709309673,314
1709309405,192,0,151,1709309674,315
1709309406,194,0,151,1709309675,316
1709309407,194,0,151,1709309676,317
1709309408,194,0,151,1709309677,318
1709309409,192,0,150,1709309678,319
1709309410,192,0,150,1709309679,320
1709309411,192,0,150,1709309680,321
1709309412,190,0,149,1709309681,322
1709309413,190,0,149,1709309682,323
1709309414,192,0,149,1709309683,324
1709309415,192,0,149,1709309684,325
1709309416,192,0,149,1709309685,326
1709309417,192,0,149,1709309686,327
1709309418,194,0,149,1709309687,328
1709309419,194,0,149,1709309688,329
1709309420,194,0,149,1709309689,330
1709309421,192,0,149,1709309690,331
1709309422,192,0,149,1709309691,332
1709309423,192,0,149,1709309692,333
1709309424,192,0,149,1709309693,334
1709309425,190,0,149,1709309694,335
1709309426,190,0,149,1709309695,336
1709309427,190,0,149,1709309696,337
1709309428,190,0,149,1709309697,338
1709309429,190,0,149,1709309698,339
1709309430,190,0,149,1709309699,340
1709309431,190,0,149,1709309700,341
1709309432,190,0,149,1709309701,342
1709309433,190,0,149,1709309702,343
1709309434,190,0,149,1709309703,344
1709309435,190,0,149,1709309704,345
1709309436,190,0,149,1709309705,346
1709309437,190,0,149,1709309706,347
1709309438,192,0,149,1709309707,348
